doc_id,item,category,amount,price,discount
DOC-20250909092246-3022,ручка,бытовая химия,2,3838.97,1032.98
DOC-20250909092246-2605,сковорода,товары для дома,4,2044.99,362.65
DOC-20250909092246-2605,молоко,продукты питания,1,3402.99,600.43
DOC-20250909092246-2605,полотенце,канцелярия,5,1980.43,49.06
DOC-20250909092246-6246,стиральный порошок,продукты питания,3,2285.62,252.15
DOC-20250909092246-6246,полотенце,продукты питания,4,4967.95,298.85
DOC-20250909092246-2155,стиральный порошок,товары для дома,2,1351.51,165.62
DOC-20250909092246-2155,утюг,бытовая химия,2,2243.6,517.29
DOC-20250909092246-2155,ручка,канцелярия,5,476.53,126.4
DOC-20250909092246-2155,полотенце,продукты питания,5,4879.16,244.15
DOC-20250909092246-2663,сковорода,продукты питания,5,3396.68,831.78
DOC-20250909092246-2663,молоко,товары для дома,2,1403.76,32.29
DOC-20250909092246-2663,сковорода,канцелярия,5,2078.65,15.77
DOC-20250909092246-4363,сковорода,текстиль,5,445.36,112.46
DOC-20250909092246-5635,молоко,канцелярия,2,1450.73,255.21
DOC-20250909092246-5975,утюг,канцелярия,1,1138.7,240.64
DOC-20250909092246-7090,стиральный порошок,текстиль,4,394.53,91.61
DOC-20250909092246-7090,утюг,посуда,3,872.44,64.83
DOC-20250909092246-7090,полотенце,канцелярия,5,557.81,29.38
DOC-20250909092246-9250,ручка,текстиль,3,3106.82,924.24
DOC-20250909092246-9250,стиральный порошок,посуда,1,550.42,103.28
DOC-20250909092246-9250,полотенце,товары для дома,3,3956.44,437.08
DOC-20250909092246-6931,стиральный порошок,бытовая химия,3,4417.47,1036.84
DOC-20250909092246-6931,ручка,товары для дома,1,2408.18,331.86
DOC-20250909092246-6931,сковорода,посуда,3,4998.89,1453.06
DOC-20250909092246-5234,утюг,продукты питания,5,3768.86,689.44
DOC-20250909092246-3612,полотенце,продукты питания,4,4914.86,1038.76
DOC-20250909092246-3612,сковорода,текстиль,5,4952.42,338.44
DOC-20250909092246-3612,молоко,бытовая химия,1,1524.68,419.81
DOC-20250909092246-3612,сковорода,канцелярия,2,2341.11,36.01
DOC-20250909092246-1332,ручка,канцелярия,2,1231.02,263.74
DOC-20250909092246-1332,полотенце,продукты питания,5,2048.13,7.34
DOC-20250909092246-6220,молоко,товары для дома,3,722.09,18.02
DOC-20250909092246-6220,полотенце,товары для дома,3,1422.25,135.31
DOC-20250909092246-6309,утюг,продукты питания,1,3843.81,1025.38
DOC-20250909092246-6309,утюг,канцелярия,3,4078.62,668.32
DOC-20250909092246-1531,стиральный порошок,бытовая химия,1,1113.97,265.52
DOC-20250909092246-1531,молоко,канцелярия,1,4611.87,626.38
DOC-20250909092246-1531,полотенце,текстиль,5,2979.98,882.87
DOC-20250909092246-0366,стиральный порошок,текстиль,4,4141.1,584.3
DOC-20250909092246-0366,ручка,бытовая химия,5,4497.47,370.97
DOC-20250909092246-0366,утюг,товары для дома,1,2749.9,804.76
DOC-20250909092246-4877,утюг,посуда,5,4096.75,962.49
DOC-20250909092246-2535,сковорода,посуда,3,3680.9,604.63
DOC-20250909092246-2535,стиральный порошок,канцелярия,2,3146.37,430.54
DOC-20250909092246-8470,ручка,бытовая химия,1,4740.51,450.05
DOC-20250909092246-8470,молоко,текстиль,1,1302.34,322.77
DOC-20250909092246-8470,ручка,бытовая химия,3,3478.57,474.26
DOC-20250909092246-8470,полотенце,текстиль,4,196.39,52.91
DOC-20250909092246-8566,ручка,канцелярия,2,765.81,160.34
DOC-20250909092246-8566,молоко,посуда,1,139.0,25.37
DOC-20250909092246-8566,сковорода,посуда,4,4065.39,743.95
DOC-20250909092246-8566,утюг,продукты питания,4,3953.69,735.71
DOC-20250909092246-8620,молоко,товары для дома,2,1341.71,144.52
DOC-20250909092246-8620,полотенце,канцелярия,2,4068.39,534.21
DOC-20250909092246-8312,утюг,посуда,2,4637.01,1240.41
DOC-20250909092246-2334,ручка,товары для дома,4,776.64,204.05
DOC-20250909092246-2334,утюг,продукты питания,3,4518.57,541.04
DOC-20250909092246-2334,ручка,текстиль,1,1268.79,19.07
DOC-20250909092246-2334,утюг,товары для дома,5,1430.33,228.83
DOC-20250909092246-0828,сковорода,текстиль,2,2096.01,58.15
DOC-20250909092246-0828,стиральный порошок,товары для дома,2,2945.85,664.0
DOC-20250909092246-0828,полотенце,продукты питания,4,3739.98,418.72
DOC-20250909092246-4676,стиральный порошок,бытовая химия,3,3301.54,92.43
DOC-20250909092246-4676,молоко,канцелярия,4,3657.98,201.34
DOC-20250909092246-4676,стиральный порошок,товары для дома,3,2964.28,673.08
DOC-20250909092246-4676,утюг,продукты питания,4,4425.56,346.81
DOC-20250909092246-4691,сковорода,продукты питания,2,3171.57,924.33
DOC-20250909092246-4691,молоко,товары для дома,5,2100.37,59.51
DOC-20250909092246-4691,утюг,текстиль,3,3112.14,894.12
DOC-20250909092246-4394,молоко,товары для дома,5,4980.44,252.69
DOC-20250909092246-8865,ручка,посуда,4,4667.58,1152.61
DOC-20250909092246-8865,ручка,бытовая химия,5,4324.44,670.54
DOC-20250909092246-8865,молоко,текстиль,4,2114.25,407.87
DOC-20250909092246-8865,утюг,посуда,4,3601.95,394.83
DOC-20250909092246-2205,молоко,продукты питания,3,891.5,10.34
DOC-20250909092246-0212,стиральный порошок,текстиль,1,3707.63,455.16
DOC-20250909092246-0212,молоко,бытовая химия,4,1466.58,313.97
DOC-20250909092246-7502,ручка,продукты питания,3,3920.88,234.92
DOC-20250909092246-7502,утюг,продукты питания,1,419.79,44.89
DOC-20250909092246-7527,стиральный порошок,канцелярия,2,2292.46,443.9
DOC-20250909092246-7527,молоко,канцелярия,2,3558.9,464.8
DOC-20250909092246-7527,ручка,продукты питания,4,3794.62,187.02
DOC-20250909092246-7527,сковорода,текстиль,5,1671.35,490.93
DOC-20250909092246-7119,молоко,канцелярия,3,914.08,216.89
DOC-20250909092246-7119,утюг,продукты питания,4,1721.31,247.7
DOC-20250909092246-7975,сковорода,товары для дома,3,2003.57,497.48
DOC-20250909092246-7975,стиральный порошок,текстиль,3,438.84,41.04
DOC-20250909092246-0751,стиральный порошок,бытовая химия,5,4792.13,1245.87
DOC-20250909092246-2070,полотенце,бытовая химия,2,1083.42,116.05
DOC-20250909092246-2070,утюг,канцелярия,2,1428.37,90.95
DOC-20250909092246-0103,молоко,продукты питания,3,4020.8,197.97
DOC-20250909092246-0103,полотенце,текстиль,3,2351.1,386.67
DOC-20250909092246-0103,молоко,товары для дома,2,680.99,196.39
DOC-20250909092246-0103,молоко,продукты питания,4,2957.63,380.69
DOC-20250909092246-7567,полотенце,товары для дома,3,2818.9,191.93
DOC-20250909092246-0355,стиральный порошок,продукты питания,4,3022.99,156.12
DOC-20250909092246-8121,сковорода,товары для дома,4,1556.56,155.97
DOC-20250909092246-1488,сковорода,канцелярия,2,4331.1,511.88
DOC-20250909092246-1488,утюг,канцелярия,5,2153.26,462.1
DOC-20250909092246-1488,утюг,текстиль,3,1853.39,500.54
DOC-20250909092246-1488,сковорода,продукты питания,2,683.72,88.7
DOC-20250909092246-1488,стиральный порошок,канцелярия,5,408.42,91.85
DOC-20250909092246-5490,молоко,бытовая химия,1,970.61,18.9
DOC-20250909092246-5490,молоко,текстиль,3,3378.75,367.58
DOC-20250909092246-5490,утюг,товары для дома,5,3200.74,947.7
DOC-20250909092246-5706,молоко,товары для дома,2,97.61,11.7
DOC-20250909092246-3838,молоко,текстиль,5,1417.58,384.48
DOC-20250909092246-7118,полотенце,товары для дома,5,1731.77,44.53
