doc_id,item,category,amount,price,discount
DOC-20250909092246-9235,стиральный порошок,продукты питания,4,342.02,1.31
DOC-20250909092246-0598,утюг,бытовая химия,1,4018.98,763.89
DOC-20250909092246-0598,сковорода,канцелярия,1,1298.1,296.1
DOC-20250909092246-0598,сковорода,продукты питания,4,4100.38,537.29
DOC-20250909092246-0598,стиральный порошок,посуда,1,3677.17,773.29
DOC-20250909092246-0598,стиральный порошок,посуда,3,352.49,33.81
DOC-20250909092246-9792,полотенце,бытовая химия,1,2844.94,709.84
DOC-20250909092246-9792,молоко,текстиль,2,1478.2,27.51
DOC-20250909092246-9792,стиральный порошок,бытовая химия,4,4315.86,1038.6
DOC-20250909092246-9792,молоко,канцелярия,5,542.98,62.82
DOC-20250909092246-6512,полотенце,бытовая химия,2,269.89,25.09
DOC-20250909092246-6512,сковорода,товары для дома,2,2777.96,750.33
DOC-20250909092246-0710,ручка,канцелярия,2,4041.83,947.97
DOC-20250909092246-0710,молоко,канцелярия,2,3561.79,180.4
DOC-20250909092246-0710,утюг,посуда,5,1535.09,55.52
DOC-20250909092246-0461,ручка,бытовая химия,3,224.9,0.57
DOC-20250909092246-0461,молоко,бытовая химия,4,484.37,125.66
DOC-20250909092246-0461,утюг,бытовая химия,4,830.23,9.57
DOC-20250909092246-0461,сковорода,бытовая химия,4,2182.91,21.7
DOC-20250909092246-0461,утюг,продукты питания,3,4025.14,358.84
DOC-20250909092246-1383,стиральный порошок,товары для дома,3,1802.26,296.2
DOC-20250909092246-4141,стиральный порошок,продукты питания,5,4949.51,1017.59
DOC-20250909092246-4768,сковорода,посуда,4,3056.57,435.63
DOC-20250909092246-4768,полотенце,посуда,2,147.18,22.28
DOC-20250909092246-2229,утюг,посуда,3,2703.56,162.67
DOC-20250909092246-0542,полотенце,посуда,1,177.71,31.28
DOC-20250909092246-0542,молоко,товары для дома,5,59.5,1.74
DOC-20250909092246-0542,сковорода,бытовая химия,4,867.01,0.55
DOC-20250909092246-0542,стиральный порошок,товары для дома,2,2745.73,3.07
DOC-20250909092246-5646,утюг,посуда,3,3591.72,419.64
DOC-20250909092246-5646,сковорода,товары для дома,1,1201.08,198.37
DOC-20250909092246-5646,молоко,бытовая химия,2,395.0,102.93
DOC-20250909092246-5646,сковорода,бытовая химия,5,2999.44,135.61
DOC-20250909092246-5646,стиральный порошок,канцелярия,2,846.27,26.41
DOC-20250909092246-6524,утюг,канцелярия,4,3862.88,519.26
DOC-20250909092246-6524,полотенце,канцелярия,4,179.08,36.99
DOC-20250909092246-6524,сковорода,товары для дома,3,1688.05,499.69
DOC-20250909092246-4066,полотенце,посуда,2,4131.94,950.26
DOC-20250909092246-4066,молоко,текстиль,1,2670.07,564.81
DOC-20250909092246-4066,сковорода,продукты питания,3,2505.54,456.62
DOC-20250909092246-4066,молоко,продукты питания,2,4959.08,854.41
DOC-20250909092246-4066,полотенце,текстиль,4,965.07,144.77
DOC-20250909092246-8442,стиральный порошок,посуда,5,1116.25,209.54
DOC-20250909092246-2048,молоко,продукты питания,4,195.63,30.38
DOC-20250909092246-2048,ручка,бытовая химия,3,1934.38,154.05
DOC-20250909092246-2048,ручка,бытовая химия,2,660.89,133.3
DOC-20250909092246-2048,полотенце,продукты питания,3,4334.1,668.21
DOC-20250909092246-2048,утюг,товары для дома,2,4334.02,1223.07
DOC-20250909092246-6685,утюг,канцелярия,3,2406.83,184.01
DOC-20250909092246-6685,молоко,посуда,3,3264.0,250.78
DOC-20250909092246-6685,стиральный порошок,товары для дома,4,1116.42,248.09
DOC-20250909092246-6685,утюг,товары для дома,5,862.77,207.97
DOC-20250909092246-4243,молоко,товары для дома,3,760.99,131.13
DOC-20250909092246-4243,утюг,товары для дома,3,4083.14,420.52
DOC-20250909092246-4243,полотенце,посуда,2,2400.6,559.69
DOC-20250909092246-0141,стиральный порошок,бытовая химия,4,1408.12,247.95
DOC-20250909092246-0141,стиральный порошок,бытовая химия,2,4959.89,657.31
DOC-20250909092246-0141,полотенце,канцелярия,5,3011.81,549.07
DOC-20250909092246-5528,ручка,текстиль,3,573.59,137.61
DOC-20250909092246-1355,полотенце,посуда,2,1693.88,129.46
DOC-20250909092246-1355,утюг,товары для дома,3,3110.9,642.71
DOC-20250909092246-1355,стиральный порошок,товары для дома,5,3994.74,671.42
DOC-20250909092246-4240,утюг,посуда,4,4296.95,1074.63
DOC-20250909092246-4240,полотенце,товары для дома,2,3345.62,469.18
DOC-20250909092246-4240,молоко,бытовая химия,3,4239.42,778.19
DOC-20250909092246-4240,молоко,посуда,3,2931.85,397.0
DOC-20250909092246-7305,сковорода,посуда,1,4946.94,834.82
DOC-20250909092246-7305,стиральный порошок,товары для дома,5,1917.84,116.09
